Hash do merge,Data do merge,Tempo de isolamento 1 (dias),Tempo de isolamento 2 (dias),Tempo de isolamento (MAX),Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
05dd6095a0da1b6c2a20aa6c112098da59a11b67,2018-09-05 21:59:04,92.20,0.08,92.2,5,2,0,189,2,177,2,1,NAO,0,0
543d4d3d51ba8c85fa697544e5f67174458c07c9,2018-09-03 12:13:20,86.67,0.11,86.67,5,1,0,182,2,173,2,1,SIM,2,2
404c58dbf5bb1f2f0c977fe3e597029317a04f58,2018-08-20 14:48:05,75.89,0.00,75.89,5,1,1,174,1,170,5,0,NAO,0,0
2c6e6e02a89e894f6ad012d9ba3e00141b3192d4,2018-08-20 10:32:34,72.25,4.35,72.25,5,2,1,173,6,170,13,1,SIM,2,2
fab90e41f4aefc73473e845fb027698aff87dccc,2018-08-20 10:17:44,3.88,0.93,3.88,1,1,0,11,5,14,11,0,NAO,0,0
97bdfc4de407dd66e57984a47c4548258a6e0c1a,2018-08-17 11:37:28,18.72,8.03,18.72,1,5,1,7,44,5,86,1,SIM,2,2
b154a58f0c4b65e8098a292b5ac300569c3a7fcc,2018-08-16 18:30:41,72.08,0.24,72.08,5,1,1,171,10,170,12,1,SIM,4,4
9d75b0976e6e5fac1ae2519febb3bf2e5f5e194a,2018-08-16 18:02:22,189.03,78.26,189.03,15,3,1,132,15,269,19,1,SIM,7,6
4294869c13e49c96520956874744bcd269bd5da1,2018-08-16 18:00:18,0.00,78.18,78.18,0,3,0,0,15,0,19,0,NAO,0,0
09194e86e87d082af5972a7fc886383f59ffa30c,2018-08-16 13:20:05,64.03,78.06,78.06,3,3,1,36,7,36,11,1,SIM,4,5
bcef1447e7158127d67977d346d84d61e0440dc6,2018-08-10 11:48:19,65.22,0.00,65.22,3,1,1,151,1,155,3,0,NAO,0,0
2e78b47fd9b441ed48799c0197384ed1338ccca4,2018-08-07 19:45:14,0.01,17.78,17.78,1,5,1,5,65,5,107,1,SIM,1,1
defbf6d6ebfbbbd546c69722f599bb2b43b3817a,2018-08-07 13:30:16,62.83,1.03,62.83,2,3,1,137,18,140,33,1,SIM,13,28
619a8b6924de386d216eba4ba90d42c7e331de9e,2018-08-07 11:49:34,186.60,0.99,186.6,15,2,1,129,15,266,30,1,SIM,12,18
d945c497365e0046ffeadc52beca7a5385bd4096,2018-07-26 19:35:58,50.93,0.00,50.93,2,1,0,98,1,111,3,1,SIM,1,1
a4657f34d549cb6814cb0e592872da08263c3969,2018-07-19 17:53:10,44.04,0.09,44.04,1,2,1,91,4,83,8,1,NAO,0,0
a756af487ba7e90fb5acaaa7f18edd159810327e,2018-07-18 12:42:01,42.34,166.75,166.75,1,7,0,85,55,73,180,1,SIM,2,4
af26e8b052a5135033e561cf4e4347eee585ab3b,2018-07-18 09:33:28,0.00,166.68,166.68,1,2,1,1,32,6,120,0,NAO,0,0
ea04dde68aac55948b1cfd6ee261917d81c57415,2018-07-18 08:03:23,139.80,95.51,139.8,2,11,1,32,59,120,113,1,SIM,2,4
50b6751728e092d519c9fcb4c7d3b2c2139ec2bc,2018-07-18 07:54:44,13.71,91.90,91.9,3,2,0,7,17,16,39,1,NAO,0,0
d8042c8fa9dd0cc53604b2729ac33333a2ce5b73,2018-07-18 07:53:44,6.81,-0.00,6.81,2,1,0,5,2,11,5,0,NAO,0,0
75443b69959ad64107f85d034472016530109472,2018-07-11 16:10:06,36.12,0.00,36.12,1,1,2,65,1,55,1,1,NAO,0,0
05e7aebef74952b83e6277573afddc66e3526000,2018-07-11 15:52:05,36.06,8.03,36.06,1,2,1,64,6,55,13,1,SIM,6,12
c82141cbaa3e2aefef1b86325c64704787d04c31,2018-07-11 14:34:04,0.00,7.12,7.12,1,1,2,1,22,1,17,1,NAO,0,0
f7752a071a6854cc3aa93b21b3dc11ede3212cfa,2018-07-11 09:29:26,61.45,18.91,61.45,2,6,0,14,39,36,58,1,SIM,2,1
f8c47a775f35b3e33129b0e501be1c67f4e92a0f,2018-07-04 14:04:39,4.07,0.00,4.07,5,1,0,10,2,16,2,0,NAO,0,0
90026ea8fca386a9488cf5d3a8144ba7d2895a92,2018-07-03 14:10:44,27.95,1.11,27.95,1,5,1,38,7,36,12,1,SIM,1,1
83156b005556927a26cabdcbb7d6a4f42046036a,2018-07-02 11:22:51,25.01,0.00,25.01,1,1,0,31,1,29,5,1,SIM,1,1
105abf850f246f9ad851f434cda98e9248b075ad,2018-06-29 12:25:23,23.25,0.03,23.25,1,3,1,19,4,25,4,0,NAO,0,0
e53c74c2cb1e7004c65989c11321942530f4de44,2018-06-28 19:04:15,23.21,0.02,23.21,1,2,1,18,7,24,19,0,NAO,0,0
b425a82afee8b7d3980789c353f6baffc1cc4b93,2018-06-26 15:13:45,20.15,0.09,20.15,1,1,2,13,7,14,5,1,NAO,0,0
156f167d52059af70c846397a9eac29eeb1abeb7,2018-06-25 16:45:30,17.89,3.00,17.89,1,3,1,12,4,14,10,1,SIM,1,1
a355eaa5f3f5fd68e2ebe62f9eccb3a20235ce37,2018-06-18 16:19:23,10.91,0.17,10.91,1,1,2,8,4,10,6,1,NAO,0,0
03c730f5bcf7d9e4de75f593b092f980d713845f,2018-06-18 10:29:51,136.41,0.97,136.41,2,2,0,31,6,120,8,0,NAO,0,0
6b29ae0c6578ce331fdab51ec7c3430b8459f0b1,2018-06-18 10:27:13,124.45,132.59,132.59,2,6,1,31,70,120,163,1,SIM,3,4
f42629ce5e2a571d4f6d98999da528566812402b,2018-06-16 15:21:11,16.97,0.17,16.97,4,1,1,31,4,36,6,1,NAO,0,0
3fe7fb9ebf1fc44ac7455de7a1efcef3ceb3eb1d,2018-06-16 15:18:44,144.07,0.16,144.07,37,1,1,434,4,396,6,1,SIM,6,7
81554e1ddfafe1b8cf000b6f5421cc8d5dfffbab,2018-06-16 11:03:34,10.13,0.00,10.13,1,1,2,7,1,10,1,0,NAO,0,0
fa75ed91b84b05c691f2e02abcc03067a5a24473,2018-06-15 16:11:03,8.28,0.00,8.28,1,1,0,6,1,10,2,0,NAO,0,0
5dcd9cb55b2b6044857176fc33879ac0633fa82b,2018-06-14 15:44:29,102.46,142.04,142.04,2,15,1,30,287,120,197,1,SIM,4,4
07f3290da15d7b07183c91c63c2ae29980e6ef87,2018-06-14 14:40:20,61.37,6.42,61.37,2,4,0,13,40,36,43,1,SIM,1,1
a664ff220cf23a2d39e84bf59c9f625ce4814faf,2018-06-13 19:52:23,8.15,0.08,8.15,1,1,2,5,4,10,5,1,SIM,3,3
a1f4e94c59ce7ccd9144a8d0e24fd46cea84e316,2018-06-13 19:51:26,14.17,0.08,14.17,4,1,1,29,4,35,5,0,NAO,0,0
8fa1dbe45dd21d19f0bff12960788d1fe534f089,2018-06-13 15:52:30,0.01,6.26,6.26,1,4,1,3,36,6,42,1,SIM,4,4
85a66caa896cf8448351fecd76e3c35a82917b79,2018-06-13 15:30:10,13.98,0.12,13.98,4,2,1,28,9,34,16,1,SIM,1,1
e5e35804b90faa2ea9a6138f7e9ac9eb9fd11243,2018-06-13 11:08:34,0.00,1.03,1.03,1,1,0,1,19,2,13,0,NAO,0,0
499bb7ea25e3ecf401311bc57e387e17dacab0de,2018-06-06 20:28:03,17.37,133.76,133.76,1,14,0,12,250,35,186,1,SIM,3,3
32858b1fcdec45c5703fe2e2943fe413ebb0e03c,2018-06-06 11:21:24,123.41,0.00,123.41,2,1,0,31,1,120,1,0,NAO,0,0
f4927faddc148d7c703f7db14e5d9267d4c3cb8f,2018-06-05 10:06:23,101.42,132.64,132.64,2,13,1,30,246,120,180,1,SIM,4,4
917975e3193c663c554fd846f1b4de0176f846a4,2018-05-26 18:43:14,123.05,0.29,123.05,12,2,1,220,5,174,11,1,SIM,2,2
7bfc989ada6aa3976c295a32ca90f02c7e29744c,2018-05-26 18:42:33,124.24,0.29,124.24,31,2,1,183,5,310,11,1,SIM,1,1
65fe55e9cb3ce912ae3b743edcef2aebae846f2e,2018-05-26 18:41:27,0.00,0.26,0.26,0,2,0,0,5,0,11,0,NAO,0,0
6acbd55577d787bf80ca029096a0190bdd419231,2018-05-25 00:31:23,122.18,10.60,122.18,12,2,1,216,2,173,6,1,SIM,3,3
fa3a7e162987cac27413caf0a8c7cc6a2995ce98,2018-05-14 09:53:08,0.41,100.24,100.24,1,31,1,29,180,120,296,1,SIM,10,10
1dd5e5f92f1f351d52fe4d538a1de20296140b80,2018-05-09 20:30:53,107.02,0.00,107.02,9,1,1,165,1,153,2,0,NAO,0,0
08a0652b7fda8edea2e3622d702bdf26299cca49,2018-05-07 11:09:35,104.67,0.01,104.67,9,2,1,142,2,136,4,1,NAO,0,0
f666568e40a712376d848b3016d32fe358edcccd,2018-05-01 06:31:00,5.41,9.91,9.91,1,5,0,11,10,32,28,1,SIM,2,2
f9e95b3bbbabf8b3308a10cc3e0b8fb8b2e4a2ec,2018-04-29 09:22:01,95.72,0.39,95.72,8,1,1,129,5,125,3,0,NAO,0,0
a2b770e8db2b0749a349f1907a952dfe45848d00,2018-04-28 10:11:18,94.78,1.08,94.78,8,2,1,124,2,125,3,1,NAO,0,0
224801982473549d07503e082f4e7fc294d965d0,2018-04-26 11:45:58,92.98,0.00,92.98,7,1,0,114,1,123,1,0,NAO,0,0
dcd01aceba0ac30b053033ddd3fa4b5fc98809f8,2018-04-25 18:22:00,92.80,6.29,92.8,7,2,1,114,2,123,21,1,SIM,2,2
c8ea1c7b335eacadf89971c319b6abb8e570ef79,2018-04-19 22:25:45,5.39,7.28,7.28,1,3,0,10,4,31,5,0,NAO,0,0
5013d869c9c87f9cac07ce736f82fc2df519d394,2018-04-18 13:18:43,73.73,7.28,73.73,5,3,1,79,4,106,5,0,NAO,0,0
483661a9f4dd53ac95478791f38c62d25ff9ab6a,2018-04-06 11:09:04,73.65,0.01,73.65,5,2,1,77,2,106,2,1,NAO,0,0
5fbb99ce5b432b9f5006879805cdfef5a3849d39,2018-04-05 20:29:02,71.72,2.46,71.72,4,6,1,74,10,98,16,1,NAO,0,0
f73fbf7a0b20946aaa482b58de3a4b84f233b69c,2018-04-02 19:44:53,70.03,0.03,70.03,3,1,1,71,2,98,8,1,SIM,2,2
52a23549554d10fac81398f0519c904a2fc93fd0,2018-04-02 14:02:07,65.95,3.78,65.95,2,4,1,69,27,97,37,1,SIM,3,3
e6a0e9089d0cf4198bd32ed5418869dfcfb9cc34,2018-04-02 13:08:43,69.80,1.99,69.8,25,1,1,149,9,286,24,1,SIM,6,13
953fef784807efc3fd9a3addad5145493b18568c,2018-03-31 13:14:43,67.77,1.77,67.77,25,4,1,149,17,286,20,1,SIM,1,1
6bb4aa7a9012fa328c8301dfb627e1e601d8cb4c,2018-03-31 12:23:42,364.87,0.97,364.87,35,1,1,848,4,677,6,1,SIM,6,6
585a386302bbf7d52376e44a918bb94a11ec3779,2018-03-31 12:21:13,347.03,0.88,347.03,69,4,1,1687,13,933,20,1,SIM,7,8
62f1a69553a6a68638207d27255db06bb2b9564a,2018-03-29 17:31:32,65.65,0.06,65.65,2,1,1,67,2,95,5,1,NAO,0,0
2179096387b6981e99429d1b4b920116e4708aa6,2018-03-29 10:25:28,63.74,1.64,63.74,2,3,1,67,3,95,7,1,NAO,0,0
efdc66d6147e02a10551befb24867f9c02935548,2018-03-27 12:15:11,60.10,1.01,60.1,2,2,1,66,14,94,49,1,SIM,3,4
e50da2f367330595f4e48d1125eeadff421fcc5e,2018-03-23 21:17:53,57.86,1.09,57.86,2,2,1,66,3,94,7,1,NAO,0,0
339f128bd46d75622d06fe7bfda4a8ae349f382b,2018-03-21 15:23:01,43.86,12.03,43.86,2,8,1,65,21,94,62,1,SIM,6,6
39030204a9429f931999ccfed310f9fb77309c1c,2018-03-21 20:24:37,0.67,0.00,0.67,5,1,1,7,8,48,11,1,NAO,0,0
f9050936faf4a75c3cacefd6dcc3d78fb0d75e39,2018-03-21 12:01:05,0.01,0.05,0.05,3,1,0,3,3,26,20,0,NAO,0,0
cc77e963c5b62ef304c058da4f5d409ea4ca64f9,2018-03-07 12:31:43,43.76,5.74,43.76,2,5,1,64,11,93,37,1,NAO,0,0
74b8c595b7097f4a96139999b2150958703541b3,2018-03-07 11:58:00,0.02,1.78,1.78,4,1,0,8,3,35,2,0,NAO,0,0
f14d50538e25d7b3ff8242225ee2f2f6a11c8226,2018-03-01 18:02:08,32.06,8.12,32.06,1,7,1,62,20,93,24,1,SIM,2,2
018f58bd3390d6cc03d10e2a9d160920c6107709,2018-02-28 12:08:26,6.63,0.00,6.63,6,1,0,12,1,41,4,0,NAO,0,0
ab4a71b24e1f8012ba6c1c24834f756ae4a322ab,2018-02-28 12:07:56,1.21,0.00,1.21,3,1,0,3,1,4,1,0,NAO,0,0
c28d8137451df36fccfa9a6ea139c3c26a94da69,2018-02-23 18:39:06,30.11,1.32,30.11,1,1,2,61,6,93,35,1,SIM,3,3
a6191d4bade743a07f25e7cfb5c39e3722c4793b,2018-02-21 18:34:17,21.89,0.30,21.89,1,8,1,56,8,81,39,1,SIM,2,2
eeb7baca8fcea76a0aed23d01aa402539dc953fb,2018-02-13 15:08:58,21.72,0.02,21.72,1,1,2,55,5,80,11,1,SIM,1,1
9ee7a86e083c81c2dd19aeb7854f62fe779783a0,2018-02-13 11:09:24,18.72,0.39,18.72,1,3,0,55,4,80,8,1,SIM,2,1
1b32e1005afcee1418820fe2a7c0d6339c35def4,2018-02-13 10:07:40,0.00,0.00,0.0,1,1,0,1,2,1,4,0,NAO,0,0
926743536e9ffd0b23176602f4b8decd87f738a5,2018-02-10 11:01:41,11.98,10.19,11.98,1,10,1,54,23,80,46,1,SIM,2,2
6e6d176b7d5b1598293f6468196b8a784f011858,2018-02-08 10:27:17,0.00,0.00,0.0,1,2,0,1,2,3,4,0,NAO,0,0
52fb45480393730882db7e1d63b5cb7db555f887,2018-02-07 08:32:19,8.31,0.00,8.31,5,1,0,13,1,16,1,0,NAO,0,0
1d5da46afc1366f14a6267380da62d341acaf7f1,2018-02-06 20:13:19,7.95,0.00,7.95,4,1,0,9,2,13,2,1,NAO,0,0
53ceaca88bd728d42c02f164f7ffb90eba698d36,2018-02-06 19:18:49,3.72,7.88,7.88,2,1,0,3,5,9,4,0,NAO,0,0
55715997bff6baf942d2217afa0482e56da9fe08,2018-02-06 12:27:08,4.60,0.02,4.6,2,1,0,7,2,12,6,1,SIM,1,1
0d14d58017386d84f3770a6de1695a5f03e1b17f,2018-02-03 17:22:08,9.78,0.02,9.78,1,1,2,53,2,80,6,1,SIM,1,1
053352f74d812ace82242f89f0a368b6ce75a945,2018-02-01 09:54:02,1.08,1.97,1.97,1,1,0,3,9,3,19,0,NAO,0,0
c87f4673206f6fc8956a89857bf3f7e06260d7c5,2018-01-31 18:37:11,9.02,0.04,9.02,1,1,2,49,1,76,3,1,NAO,0,0
29e48758df73e8d81dd9f10c0174ec9752511a43,2018-01-31 18:26:12,3.81,4.99,4.99,1,2,1,49,10,76,27,1,SIM,3,4
5a97b7ebfa6e6b71eabe201c0b9ba7e90293a8e2,2018-01-26 12:33:42,2.79,0.01,2.79,1,1,2,48,2,73,2,0,NAO,0,0
bba2fc7bc54fb6e9279fa6ae9aa7a101a05c9022,2018-01-25 12:56:03,2.01,0.00,2.01,1,1,2,48,1,73,4,1,SIM,1,2
b8663fb14a80f14ad7d2dd85e57fa6e92e0a5feb,2018-01-24 18:07:47,1.01,0.12,1.01,1,2,1,47,2,73,9,0,NAO,0,0
818ef0ed6e8237cf076f0142f475a7936960d186,2018-01-22 17:23:48,0.00,0.01,0.01,1,1,0,1,3,2,12,0,NAO,0,0
d29022fe205d7c100827d608e3b9c6915affe58d,2018-01-14 23:22:59,76.17,0.00,76.17,2,1,0,79,1,93,1,0,NAO,0,0
b7567232e4f48f9514f0339ed8716edf7498afa9,2018-01-14 16:13:40,74.07,0.11,74.07,2,1,1,74,3,91,8,1,SIM,3,4
40a0e5b9170e1246087275ef5d7f9c0e59b993fa,2018-01-11 11:55:36,71.23,6.94,71.23,1,4,0,62,7,73,17,1,SIM,2,2
f551a56f93246b0a8251426d8f8eb9964cbdd865,2018-01-10 09:07:18,7.05,0.03,7.05,4,1,1,6,2,19,6,1,NAO,0,0
da02835f0a59b72f990145517ec50e294a407d15,2018-01-03 10:49:37,61.01,13.82,61.01,1,3,1,50,4,63,17,1,NAO,0,0
bd4ae26433c720623bfa4bf3f53bfe09480a60b2,2017-12-20 12:08:18,50.86,0.71,50.86,1,3,0,39,4,50,8,1,SIM,2,2
bf6d0dabc9c6f2ad92d703e038aa1056b33f445d,2017-12-19 18:22:51,43.16,39.88,43.16,1,6,1,35,18,48,41,1,SIM,2,2
9b056f5e911513fb3df716bd524d504cceb863f4,2017-12-13 20:14:13,78.97,33.66,78.97,18,2,1,297,9,281,7,1,NAO,0,0
710869bacac487b0bc91ad6772b3916fd4917ecb,2017-12-12 17:58:27,39.21,5.05,39.21,1,5,1,33,11,48,17,1,SIM,1,1
3729735b8b858bbb3acf20d9095ebff502ab9f35,2017-12-12 17:30:20,39.21,5.03,39.21,1,5,1,33,10,48,17,1,SIM,1,1
ae3c05cb34093ae038763016a6bbbf124495f22d,2017-12-12 22:06:17,78.07,4.83,78.07,6,2,1,89,3,46,3,1,NAO,0,0
a40ab79a9c0a1d53018519353ae53e6f5f18b48e,2017-12-08 18:41:38,39.18,0.00,39.18,1,1,2,32,1,48,1,0,NAO,0,0
f098648d8a43e28512b62c0aec4f3dbfa8a776a2,2017-12-08 18:07:19,35.90,74.22,74.22,1,5,1,30,84,48,40,1,SIM,4,4
bf9624f6446d4c58b061ef778a5f7ab3747e00c1,2017-12-08 18:02:55,51.97,74.22,74.22,22,5,1,262,84,456,40,1,SIM,6,6
02cfd0fab1cdf11cc9582017556b0362416d53e6,2017-12-08 17:58:26,0.87,74.22,74.22,4,2,1,17,67,23,27,1,SIM,1,1
926205f5d963c1e1a5ee4de992213eb57c34f308,2017-12-08 17:24:12,304.04,74.19,304.04,54,2,1,1251,15,582,12,1,SIM,9,10
db3efd3a6f7748fdf3a2a49557d0c21cceb1dac7,2017-12-08 17:17:50,228.94,44.92,228.94,14,2,1,384,52,259,25,1,SIM,8,9
1979bdd2acccc6d8759e9a2ae405885c667e063a,2017-12-05 11:44:21,35.89,0.00,35.89,1,1,2,29,1,46,2,0,NAO,0,0
7d379aecf00883bd24614fadc8b73a168275117f,2017-12-05 11:00:18,35.82,0.05,35.82,1,2,1,26,9,42,27,1,SIM,3,3
162f4583064b4c333eeb0e54ed937f4693e497df,2017-12-05 10:57:31,0.00,0.04,0.04,1,1,0,1,7,3,23,0,NAO,0,0
d10d3225ad018e8d367cd555780702ec52d1c284,2017-12-05 09:31:20,33.16,21.02,33.16,1,5,1,24,14,41,22,1,NAO,0,0
bc0a25156b2d717785fea3b8149024ecfce19e39,2017-12-05 15:41:34,20.89,1.07,20.89,2,2,1,9,2,17,2,0,NAO,0,0
74aa18b25305eed71cca256d7c0ad65c0bae501b,2017-12-04 17:03:22,11.84,15.31,15.31,4,1,1,19,8,18,16,1,NAO,0,0
ba4e3c26d0ebad72d3e471e33c78dbd1430f0000,2017-12-02 17:52:43,32.19,11.10,32.19,1,4,1,24,13,41,8,0,NAO,0,0
855dfe896099b49ae3a2320cef73037e1a1bab09,2017-12-02 17:20:39,12.23,8.89,12.23,11,1,1,51,10,90,3,0,NAO,0,0
3c0354fbe27eda43b0e4ccd1792261796a96c757,2017-12-01 18:45:46,27.99,2.30,27.99,1,3,1,24,6,41,11,1,SIM,1,1
3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,2017-11-29 22:28:01,15.25,20.74,20.74,1,13,1,6,108,15,190,1,SIM,1,1
a8bb9c3a57bc935072fa28df136ffcb966d4d024,2017-11-27 13:24:09,25.89,0.01,25.89,1,2,1,22,2,41,4,0,NAO,0,0
b3ae2967098d32482de9e4a7bbf248a01ede2bda,2017-11-25 11:10:57,24.90,0.00,24.9,1,1,2,21,1,38,3,0,NAO,0,0
fb080c1a835c5966ea923415be2f527257110fd4,2017-11-24 11:38:19,23.06,1.70,23.06,1,5,1,20,22,37,33,1,NAO,0,0
f3c646040680eb3c7c592bc501d94047bb5fc4c7,2017-11-23 15:50:14,0.77,0.00,0.77,2,2,1,2,14,2,23,0,NAO,0,0
a6b90f85c3a8c2540ddb79ba15a35f9c59d0e93f,2017-11-22 14:52:58,21.56,2.12,21.56,1,7,1,17,17,34,44,1,SIM,3,3
77b2b94bbbe024f8ef5512a080086b13a4bdbb0b,2017-11-22 19:49:46,0.00,1.99,1.99,1,5,1,3,7,3,33,1,SIM,1,1
d9e9dc25a47f56bfe921d6f0fb55532693c8f0ba,2017-11-22 11:11:53,1.10,0.00,1.1,1,1,0,3,2,2,1,0,NAO,0,0
05994bc7b460073bd091aa182318a8df298eeb11,2017-11-21 10:33:03,20.87,0.00,20.87,1,1,0,17,1,34,1,0,NAO,0,0
6ae4ca64d3b94a5c9a96c80eff3717926a0b2754,2017-11-20 10:54:03,18.03,2.61,18.03,1,2,1,17,2,34,2,0,NAO,0,0
5bdf684525421f7248b33bff3d45030ea4b66fed,2017-11-17 14:34:11,15.01,8.87,15.01,1,5,1,16,30,29,57,1,SIM,1,1
ac085d96fb79dfc03d28af8d4a3de50e99313ce4,2017-11-17 14:11:51,0.80,0.76,0.8,1,1,0,14,4,24,5,0,NAO,0,0
